🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight investor positive_rate=0.834 (sample=500)
♻️ Warm-start loaded from: outputs/final_mega.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=investor
[Step 102] user:investor loss: 3.468 grad:15.354 pred: 3.184 reward:  7.10 eps:0.17 exploit regret:    - hn:0.828 hc:0.96 | source_business_insider | Analytical Deep Dive | Don't believe those videos showing Sam Altman 
[Step 103] user:investor loss: 6.770 grad:27.088 pred: 3.236 reward: 10.00 eps:0.17 exploit regret:    - hn:0.832 hc:0.96 | source_collider | Analytical Deep Dive | The Irishman Cinematographer Breaks Down the M
[Step 104] user:investor loss: 0.765 grad: 2.798 pred: 3.154 reward:  7.77 eps:0.17 exploit regret:    - hn:0.826 hc:0.96 | source_ndtv | Analytical Deep Dive | OpenAI Launches Sora 2, Its New AI Video App T
[Step 105] user:investor loss: 3.710 grad:13.940 pred: 3.139 reward: 10.00 eps:0.17 exploit regret:    - hn:0.825 hc:0.96 | source_zdnet | Analytical Deep Dive | You can win $250K from OpenAI if you help solv
[Step 106] user:investor loss: 2.344 grad:10.418 pred: 3.182 reward:  7.96 eps:0.17 exploit regret:    - hn:0.828 hc:0.96 | source_technobezz | Analytical Deep Dive | OpenAI Launches GPT-5.3-Codex as a Faster AI W
[Step 107] user:investor loss: 0.796 grad: 2.801 pred: 3.160 reward:  7.29 eps:0.17 exploit regret:    - hn:0.827 hc:0.96 | source_cnbc | Analytical Deep Dive | Disney making $1 billion investment in OpenAI,
[Step 108] user:investor loss:10.154 grad:33.256 pred: 3.197 reward: 10.00 eps:0.17 exploit regret:    - hn:0.829 hc:0.96 | source_the_guardian | Analytical Deep Dive | OpenAI promises more ‘granular control’ to cop
[Step 109] user:investor loss: 4.143 grad:20.220 pred: 3.252 reward:  7.04 eps:0.17 exploit regret:    - hn:0.833 hc:0.96 | dailymail.co.uk | Analytical Deep Dive | Nancy Guthrie investigators find black glove n
[Step 110] user:investor loss:16.437 grad:42.094 pred: 3.256 reward: -5.38 eps:0.17 exploit regret:15.38 hn:0.833 hc:0.96 | source_farmonaut | Analytical Deep Dive | Agriculture Jobs Europe 2026: Trends & Innovat
[Step 111] user:investor loss: 0.603 grad: 1.729 pred: 3.229 reward:  7.37 eps:0.17 exploit regret:    - hn:0.832 hc:0.96 | source_global_south_opportunities | Analytical Deep Dive | Public Benefit Innovation Fund (PBIF): Summer 
[Step 112] user:investor loss: 0.910 grad: 3.278 pred: 3.137 reward:  7.51 eps:0.17 explore regret:    - hn:0.825 hc:0.96 | bestmediainfo.com | Analytical Deep Dive | Why your 2026 consumer will date AI, cuddle pl
[Step 113] user:investor loss:11.854 grad:27.411 pred: 3.176 reward: -5.42 eps:0.17 explore regret:    - hn:0.828 hc:0.96 | source_yahoo_finance | Analytical Deep Dive | Sam Altman Removed From OpenAI Startup Fund As
[Step 114] user:investor loss:10.732 grad:24.651 pred: 3.154 reward: -4.65 eps:0.16 exploit regret:    - hn:0.826 hc:0.96 | source_untapped_new_york | Analytical Deep Dive | New Book Uncovers Contemporary and Lavish Home
[Step 115] user:investor loss: 0.873 grad: 3.201 pred: 3.146 reward:  7.31 eps:0.35 explore regret:    - hn:0.826 hc:0.96 | source_tom_s_hardware | Analytical Deep Dive | RTX 5080 power cable allegedly melts at PSU — 
[Step 116] user:investor loss: 0.969 grad: 3.514 pred: 3.112 reward:  7.79 eps:0.16 exploit regret:    - hn:0.823 hc:0.96 | source_cult_mtl | Analytical Deep Dive | The food truck renaissance: A worldwide phenom
[Step 117] user:investor loss: 0.909 grad: 3.420 pred: 3.128 reward:  7.77 eps:0.16 exploit regret:    - hn:0.824 hc:0.96 | vocal.media | Analytical Deep Dive | The Ultimate Guide for Time-Saving Life Hacks 
